userID[0],userName[1],password[2],email[3],gender (M/F)[4],genderPreference (M/F)[5],age[6],country[7],state[8],postcode[9],latitude[10],longitude[11],interest1[12],interest2[13],interest3[14],interest4[15],interest5[16],interest6[17],interest7[18],interest8[19],interest9[20],interest10[21]
00014,Muthuraman,muthu963,muthuraman96@gmail.com,M,M,32,Malaysia,Kedah,09400,5.529434,100.597136,Hacking,Fishkeeping,Wikipedia editing,Diving,,,,,,
00016,Ahmad Basha,bashaKedah,ahmadbasha@gmail.com,M,M,23,Malaysia,Kedah,06250,6.132421,100.310501,Puzzles,Rubik's Cube,Reading,Taekwondo,,,,,,
00017,Musa Anwar,anwarmusa ,musaanwar69@icloud.com,M,M,33,Malaysia,Selangor,45400,3.67207,100.98622,Metalworking,Welding,Karate,,,,,,,
00018,Betty James,bjames@123,jamesbettyy@hotmail.com,F,F,29,Malaysia,Selangor,68100,3.237572,101.683934,Foreign language learning,Knitting,Soapmaking,Softball,,,,,,
00019,Veronica,oh!mygod,veronica23@gmail.com,F,F,22,Malaysia,Perlis,02600,6.442711,100.286830,Digital arts,Quilling,Tennis,Badminton,,,,,,
00020,Laura D'Souza,qwert_asdf,laurasauza@icloud.com,F,F,21,France,,,46.227638,2.213749,Sketching,Cooking,Digital arts,,,,,,,
00021,David Kong,eewern520,davideew@gmail.com,M,F,21,Malaysia,Penang,10400,5.419313,100.323128,Cooking,Origami,Basketball,Video gaming,Dance,,,,,
00022,Jeevitha Sandrika,jeevS666,jeevithaS@hotmail.com,F,M,26,Malaysia,Kelantan,15000,6.1253,102.2461,Karate,Makeup,Nail art,Netball,,,,,,
00023,Mohammad Batran,csisthebest@,mohmbatran@yahoo.com,M,F,28,Malaysia,Selangor,41300,3.053144,101.470829,Wrestling freestyle,Swimming,Dance,Cycling mountain bike,Football,Taekwondo,,,,
00024,Amanda,aamandaa224,amanda224@gmail.com,F,M,18,Malaysia,Terengganu,20570,5.3117,103.1199,Jogging,Karaoke,Badminton,Archery,Baking,,,,,
00025,Cassandra Lim,limpek_520,cassandraEng05@icloud.com,F,M,30,Malaysia,Penang,10100,5.41464,100.332248,Book discussion clubs,Bowling,Digital arts,Drawing,Electronic games,,,,,
00026,Daniel Tan,tangre_1999,daniel99@hotmail.com,M,F,21,Malaysia,Terengganu,20630,5.3175,103.1312,DJing,Badminton,Golf,Ice skating,,,,,,
00027,Hong Tam,currydalove,Hong_c@gmail.com,F,F,27,Malaysia,Perak,30550,4.6118,101.1135,Photography,Painting,Sketching,Wood carving,Video editing,,,,,
00028,Francis Blevin,ninja_@@,ninjakatana@yahoo.com,M,M,32,Malaysia,Pahang,39000,4.3972,101.4559,Watching movies,Video gaming,Shooting,Listening to podcasts,Hacking,Golf,,,,
00029,Turner Anthony,aimbotact-on,codetfue6969@yahoo.com,M,M,19,Malaysia,Sabah,89150,6.3463,116.4665,Shooting,Athletics,Blogging,Fashion design,,,,,,
00030,Tim,cuteboiii981264,timthetatman@gmail.com,M,M,26,Malaysia,Sabah,89300,5.9589,116.6402,Practical jokes,Powerlifting,Ice hockey,Gaming,,,,,,
00031,Shroud Rowdy,hackerotw00,shroud@gmail.com,M,F,29,Malaysia,Sarawak,93450,1.5484,110.3676,Knife making,Magic,Playing musical instruments,Rapping,,,,,,
00032,Jeff Leong,1a2b3c4d5e,jeffjeff88@icloud.com,M,F,22,Malaysia,Sarawak,95707,1.4196,111.5959,Reading books,Robot combat,Scrapbooking,,,,,,,
00033,Mona Wong,wong_wong,monananana@gmail.com,F,M,17,Malaysia,Kuala Lumpur,53200,3.1702,101.7056,Sewing ,Drawing,Home improvement,Flower arranging,Foreign language learning,,,,,
00034,Gabriel,1u3827ggabriel,gabriel@icloud.com,M,F,16,Malaysia,Sabah,88827,5.9765,116.1158,Freestyle skiing,Hula hooping,Listening to music,Mazes,,,,,,
00035,Hung,iamthebest,hungh90@gmail.com,F,M,23,Malaysia,Pahang,39100,4.3557,101.6275,Social media,Singing,Listening to music,Writing,Whittling,,,,,
00036,Jacob,66jacob$,jacobjw@gmail.com,M,F,27,Malaysia,Perak,30910,4.6118,101.1135,Zumba,Listening to music,Winemaking,Basketball,,,,,,
00037,Louis viton,lvbagismine,lvvsgucci38@hotmail.com,F,M,18,Malaysia,Sarawak,98300,3.9671,114.2984,Travelling,Sport climbing,Social media ,Sketching,,,,,,
00038,Donald Tan,mcdburger-xl,mcdorkfc9876@gmail.com,M,M,36,Malaysia,Kelantan,17040,6.0284,102.1551,Graphic design,Computer programming,Cryptography,Cycling bmx,Crossword puzzles,,,,,
00039,Peter Ben,panisthename,peterpan@yahoo.com,M,F,33,Malaysia,Melaka,75710,2.2057,102.2562,Hockey,Jogging,Painting,,,,,,,
00040,Jelly Tom,999897exp/hp,tomandjerrym@gmail.com,F,M,20,Malaysia,Penang,11920,5.257984,100.181532,Makeup,Singing,Watching movies,Yoga,Cooking,,,,,
